rep,id,k1,k2,A0,peak
74,4,0.400585,0.0088958,0.0437496,73.4252
75,4,0.379657,0.00841487,0.0437496,73.2067
76,4,0.397093,0.00467245,0.0908116,69.4785
77,4,0.377939,0.00467245,0.0988375,70.2399
78,4,0.417648,0.00554564,0.0751133,68.0593
79,4,0.399304,0.00698374,0.0829308,63.9342
80,4,0.454047,0.00437961,0.0737257,71.264
81,4,0.445197,0.00587124,0.0597067,70.0971
82,4,0.411448,0.00587124,0.0597067,73.1386
83,4,0.366726,0.00786998,0.0497167,69.6289
84,4,0.418051,0.0076916,0.0724936,67.6548
85,4,0.373771,0.0069988,0.0838789,71.6691
86,4,0.364624,0.00850255,0.057451,64.9794
87,4,0.348458,0.00819649,0.0840428,68.7321
88,4,0.448596,0.00556662,0.0569391,71.5772
89,4,0.372355,0.00571684,0.111123,72.3575
90,4,0.383345,0.00533488,0.0559687,72.4969
91,4,0.49332,0.00806904,0.0415841,70.5702
92,4,0.405217,0.00929128,0.063008,68.894
93,4,0.435772,0.00698859,0.0688264,69.3158
94,4,0.435772,0.00693146,0.0556719,70.2568
1,5,0.284694,0.00771545,0.0591339,70.9091
2,5,0.283944,0.007478,0.0541691,67.8067
3,5,0.295787,0.00629906,0.0606699,66.0462
4,5,0.282057,0.00828771,0.0611039,66.0203
5,5,0.310776,0.00564989,0.0530366,69.3847
6,5,0.309562,0.00645509,0.0454157,70.331
7,5,0.321314,0.00907799,0.0488471,67.3201
8,5,0.326296,0.0100005,0.0428556,69.1302
9,5,0.333343,0.00858877,0.0561911,68.6292
10,5,0.308953,0.0059594,0.0830468,71.043
11,5,0.303131,0.00935472,0.0664064,69.5156
12,5,0.290311,0.00774139,0.0601681,68.5068
13,5,0.292818,0.00774139,0.046704,69.6398
14,5,0.282489,0.00911251,0.0782169,72.0737
15,5,0.279134,0.00924778,0.0817998,71.308
16,5,0.279134,0.00924778,0.0554563,74.2952
17,5,0.277608,0.00669448,0.0860571,74.2952
18,5,0.293078,0.00815959,0.0598148,70.9943
19,5,0.288341,0.00919728,0.0625188,73.6213
20,5,0.304482,0.00903881,0.0390396,68.043
21,5,0.31755,0.00806385,0.0921993,70.1412
22,5,0.357009,0.010606,0.0612029,70.3616
23,5,0.295992,0.00908182,0.114099,67.9138
24,5,0.287399,0.00933867,0.0509974,66.2784
25,5,0.321703,0.00759743,0.0483802,66.6941
26,5,0.333474,0.00498475,0.0650629,69.7998
27,5,0.297456,0.00729424,0.0487012,75.6722
28,5,0.276167,0.00672476,0.0699528,66.7526
29,5,0.263451,0.0100823,0.0858598,66.4427
30,5,0.263451,0.0100343,0.0858598,71.8522
31,5,0.312806,0.0100343,0.0615607,71.7739
32,5,0.27946,0.00851435,0.0615607,72.2242
33,5,0.296066,0.00943518,0.0490014,73.6038
34,5,0.296066,0.00871041,0.0490014,73.6038
35,5,0.269649,0.00911226,0.0859557,74.4097
36,5,0.267608,0.00580572,0.0859557,74.4097
37,5,0.267608,0.0086784,0.093266,69.8218
38,5,0.304523,0.00755015,0.050781,67.82
39,5,0.341862,0.00739196,0.0442553,69.3167
40,5,0.314971,0.00590486,0.0579667,66.6615
41,5,0.324568,0.0104749,0.0607287,72.6867
42,5,0.300488,0.00927531,0.067377,67.1859
43,5,0.300488,0.00927531,0.067377,69.0443
44,5,0.331071,0.00662043,0.0464367,73.1246
45,5,0.309004,0.00710902,0.0724268,67.3589
46,5,0.316254,0.00611079,0.0580882,67.8097
47,5,0.27729,0.00611079,0.0852108,67.6583
48,5,0.269821,0.00792927,0.0810344,69.6909
49,5,0.297466,0.00815447,0.0962693,71.7168
50,5,0.301826,0.00834886,0.0505425,73.5347
51,5,0.31586,0.00981025,0.047867,70.3185
52,5,0.301661,0.00950881,0.0513905,70.1349
53,5,0.301661,0.00789881,0.0529324,70.5342
54,5,0.293369,0.00789881,0.0496875,66.5528
55,5,0.296252,0.00897199,0.0496875,68.1803
56,5,0.31756,0.0102311,0.115182,67.8683
57,5,0.305397,0.00956152,0.0503264,69.2155
58,5,0.317773,0.00956152,0.0532638,69.2155
59,5,0.278071,0.00731648,0.0609063,68.8919
60,5,0.321615,0.0078719,0.0381915,70.7997
61,5,0.307143,0.00919758,0.0526813,69.8917
62,5,0.307143,0.00718051,0.0553138,69.1879
63,5,0.289231,0.00883831,0.0605551,69.7617
64,5,0.306491,0.0105218,0.0486518,69.4349
65,5,0.289802,0.00690158,0.0486518,69.308
66,5,0.300259,0.00703594,0.0486518,70.9725
67,5,0.26241,0.0071892,0.094391,71.6919
68,5,0.300083,0.00748485,0.0898191,70.4312
69,5,0.266603,0.00718631,0.0725853,69.6938
70,5,0.30122,0.00841995,0.069524,72.0905
71,5,0.27608,0.00898243,0.0576806,71.705
72,5,0.291553,0.00801269,0.0864639,71.6681
73,5,0.279945,0.0102604,0.135592,70.3444
74,5,0.309432,0.009439,0.0845279,70.1082
75,5,0.273197,0.0091932,0.0589445,72.2487
76,5,0.275449,0.00789175,0.0529101,67.7227
77,5,0.295469,0.00819948,0.0624967,71.9869
78,5,0.296357,0.00709468,0.0715671,68.332
79,5,0.300524,0.00836187,0.0715671,72.4005
80,5,0.300524,0.00836187,0.0702927,66.3182
81,5,0.289459,0.00703161,0.0427254,65.9527
82,5,0.289459,0.00789625,0.0853867,65.9527
83,5,0.311513,0.00890871,0.0519225,70.196
84,5,0.329122,0.0099936,0.0507542,67.5042
85,5,0.285421,0.00766661,0.0489294,69.5578
86,5,0.289935,0.00702782,0.0922298,66.1951
87,5,0.289227,0.0054623,0.0705591,66.1781
88,5,0.290781,0.00867705,0.059359,64.7761
89,5,0.297235,0.00677396,0.0560662,70.9446
90,5,0.299488,0.00853415,0.0672487,71.611
91,5,0.25332,0.00677836,0.0672487,71.611
92,5,0.271582,0.008511,0.076898,73.3256
93,5,0.306841,0.00523206,0.0372422,68.0062
94,5,0.334188,0.00645033,0.0593572,68.8828
1,6,0.298431,0.00497434,0.151027,70.4292
2,6,0.3659,0.00473544,0.0834702,69.8819
3,6,0.339957,0.00550577,0.0617548,70.9167
4,6,0.353268,0.00531727,0.0710967,71.3886
5,6,0.335809,0.00549637,0.0653261,69.184
6,6,0.339461,0.00737277,0.0788168,71.0516
7,6,0.428089,0.00737277,0.0889431,71.0516
8,6,0.331062,0.00611133,0.170665,73.0926
9,6,0.310271,0.0050546,0.0804491,74.6701
10,6,0.337148,0.0050303,0.0804491,66.8224
11,6,0.337148,0.00493965,0.0569779,66.0181
12,6,0.363272,0.00492299,0.0896905,70.4388
13,6,0.295399,0.00492299,0.104787,70.791
14,6,0.312941,0.00634501,0.124921,70.1839
15,6,0.280863,0.00478848,0.18733,65.8686
16,6,0.354508,0.00592681,0.146888,75.764
