rep,id,k1,k2,A0,peak,Vaccine_Group
58,4,0.529434,9.38558e-05,0.00845891,66.7157,1ug Pfizer
59,4,0.550205,0.000339084,0.0097702,66.8769,1ug Pfizer
60,4,0.597183,0.000163323,0.00365099,66.4828,1ug Pfizer
61,4,0.627713,0.00012542,0.00455645,67.0717,1ug Pfizer
62,4,0.598166,0.000279644,0.00346798,66.9824,1ug Pfizer
63,4,0.590058,7.73356e-05,0.00768718,66.4555,1ug Pfizer
64,4,0.579046,0.000329262,0.00688971,66.9824,1ug Pfizer
65,4,0.578174,0.000150604,0.00720746,67.5903,1ug Pfizer
66,4,0.579046,0.000188949,0.00741153,66.4244,1ug Pfizer
67,4,0.542491,0.000346389,0.0076666,67.7027,1ug Pfizer
68,4,0.580127,3.04475e-05,0.0071235,67.2337,1ug Pfizer
69,4,0.607432,0.000103247,0.00301888,67.6088,1ug Pfizer
70,4,0.54546,9.28869e-05,0.00924928,67.1046,1ug Pfizer
71,4,0.534018,0.000320049,0.00900176,67.1496,1ug Pfizer
72,4,0.567748,8.3748e-05,0.00693218,66.8522,1ug Pfizer
73,4,0.534018,5.62898e-05,0.0122744,67.1496,1ug Pfizer
74,4,0.578496,2.36793e-05,0.0067671,66.4352,1ug Pfizer
75,4,0.624309,5.62898e-05,0.0043457,67.2139,1ug Pfizer
76,4,0.545458,6.80195e-05,0.00985613,66.3209,1ug Pfizer
77,4,0.602314,0.000146077,0.00583058,67.3428,1ug Pfizer
78,4,0.619843,0.000134441,0.00544212,67.7671,1ug Pfizer
79,4,0.602314,0.000165857,0.00583058,67.3428,1ug Pfizer
80,4,0.619843,0.000120462,0.00517307,67.7671,1ug Pfizer
81,4,0.602314,0.000118721,0.00424344,67.1765,1ug Pfizer
82,4,0.609986,0.000395983,0.00479934,67.8801,1ug Pfizer
83,4,0.586431,0.000252682,0.00583589,68.0976,1ug Pfizer
84,4,0.549484,5.08412e-05,0.0145404,67.7574,1ug Pfizer
85,4,0.591231,0.000226428,0.00527299,68.1589,1ug Pfizer
86,4,0.55307,0.000107202,0.00939552,66.7982,1ug Pfizer
87,4,0.663716,0.000219661,0.00266683,67.7307,1ug Pfizer
88,4,0.554645,0.000205115,0.00784469,65.9864,1ug Pfizer
89,4,0.663716,9.09567e-05,0.00396603,66.6326,1ug Pfizer
